Movie_Title,Rating,Vote_Count,Runtime,Genre
Lisabi: The Uprising,5.2,142,1h 47m,Action
Clone Cops,5.8,269,1h 36m,Action
RedSin: Martyrs of Dissent,None,None,49m,Action
Stuntman,6.9,204,1h 54m,Action
(Pri)sons,5.0,295,1h 40m,Action
Nu Huo 12 Xiao Shi,6.0,55,1h 26m,Action
American Warrior,8.4,24,1h 29m,Action
Villain - Life of a Gangster,8.7,166,2h 21m,Action
Purushothamudu,5.1,2.3K,2h,Action
Inanimate Insanity II: The Movie,8.2,246,1h 46m,Action
I Heart Robots,4.6,2.4K,1h 16m,Action
Love You to Debt,6.2,773,2h 15m,Action
Bonnie,7.3,43,2h,Action
Premalo,7.3,1.1K,2h 8m,Action
Major Grom: The Game,6.1,1.9K,2h 48m,Action
Spiders on a Plane,5.0,388,1h 18m,Action
Customs Frontline,5.5,531,1h 55m,Action
Genis Aile 4: Cevahir & Ulvi,4.7,259,1h 30m,Action
Ape X Mecha Ape: New World Order,2.9,146,1h 27m,Action
Reapers,8.1,583,None,Action
Bad Boyz,3.1,740,2h 30m,Action
Art of Eight Limbs,4.0,326,1h 41m,Action
September Babies,5.5,296,1h 34m,Action
Drive,5.6,356,1h 30m,Action
The Epidemic,5.9,71,1h 35m,Action
Marni: The Story of Wewe Gombel,5.8,230,1h 59m,Action
Taklee Genesis x Worlds Collide,5.4,428,2h 26m,Action
Iravinil Aatam Par,3.3,154,1h 58m,Action
Echo 8,6.1,1.3K,1h 35m,Action
Sikaar,8.3,687,2h 30m,Action
Second Life,6.7,58,1h 45m,Action
Sector 17,5.4,1.3K,2h 26m,Action
Sous écrous,5.6,101,1h 51m,Action
Appu,8.1,189,1h 32m,Action
The Actor,3.4,738,2h 8m,Action
Checkmate,4.3,397,1h 44m,Action
Blocking the Horse,5.2,27,1h 34m,Action
The Traveller,5.2,213,2h 14m,Action
Crosspoint,6.6,59,1h 40m,Action
Jorge da Capadócia,5.9,162,1h 59m,Action
Mummy Shark,2.0,187,1h 6m,Action
Kali,5.2,425,1h 36m,Action
Rendel: Cycle of Revenge,3.6,252,1h 39m,Action
The Waiter,8.2,30,None,Action
Ship of the Damned,2.8,310,1h 28m,Action
Ghost Killer,7.0,82,1h 45m,Action
Hit List,5.5,316,2h 5m,Action
The Infallibles,4.8,782,1h 39m,Action
The Charisma Killers,6.1,661,1h 41m,Action
The Moon Thieves,6.0,290,1h 48m,Action
