Movie_Title,Rating,Vote_Count,Runtime,Genre
Døde menn går på ski,5.2,334,1h 29m,crime
Murder in the Village: Who Killed the Doctor's Wife?,5.8,66,None,crime
Zabt,6.2,20,None,crime
Vivekam,8.2,309,1h 44m,crime
Martingale,5.3,105,1h 43m,crime
Blood and Black,7.0,1.1K,1h 28m,crime
Breathe,8.8,43,None,crime
Alchemy of Solitude,None,None,None,crime
Tschugger - Der Lätscht Fall,8.1,169,2h 27m,crime
Poslednji strelac,5.4,263,1h 30m,crime
Charlotte Link - Ohne Schuld,5.5,43,1h 29m,crime
Salvajes,5.5,61,1h 30m,crime
Bigul,8.9,55,2h 24m,crime
The Unwavering Brotherhood,5.3,85,1h 34m,crime
Passagrana,6.4,138,1h 40m,crime
Supplier Shankara,9.3,73,2h 43m,crime
Pepe,4.9,494,2h 6m,crime
Ryding Durty,9.0,9,None,crime
The Shadow,6.4,275,1h 30m,crime
Deadly Ruphoria,6.1,37,None,crime
Find Me,5.2,22,None,crime
Murder in a Teacup,6.3,152,1h 33m,crime
Rob N Roll,6.1,1.5K,1h 38m,crime
Unknown Caller,7.0,29,1h 3m,crime
Evil Among Us: The Grim Sleeper,6.3,34,None,crime
Sinful Lies,6.7,8,1h 5m,crime
Duffle Bag Boy,6.8,60,None,crime
Wicked Season,5.5,37,None,crime
Kiyma: Orman Kanunlari,3.9,42,1h 21m,crime
La mort viendra,6.0,43,1h 41m,crime
Nastupit leto,5.6,51,1h 34m,crime
Super Vixens 6,None,None,1h 13m,crime
A Hateful Enemy,None,None,1h 16m,crime
The Tale of Texas Pool,7.8,79,None,crime
"Fallen Leaves, Broken Lighters",7.7,8,1h 36m,crime
We Are Tourists,None,None,1h 37m,crime
Old Wild Mob,None,None,None,crime
Public Defender,8.0,19,None,crime
Rhino Man,8.8,43,1h 36m,crime
Un homme en fuite,5.4,172,1h 46m,crime
That One Night,None,None,1h 25m,crime
Lóve 2,4.9,78,None,crime
Bloody Money,None,None,1h 21m,crime
Gossip to Die For,5.2,84,1h 34m,crime
All That Glitters,7.7,43,None,crime
Secret Home,8.3,148,1h 57m,crime
The Final List,None,None,1h 47m,crime
Lipstick,6.5,30,2h 25m,crime
Red Night at Skye's,7.0,10,1h 22m,crime
Troubled Mystic,None,None,None,crime
Gumbo 2,6.8,11,None,crime
5D,8.2,579,2h 9m,crime
Game Over,5.7,20,1h 14m,crime
Ugravatara,8.0,553,2h 2m,crime
Whatever It Takes,8.3,14,1h 33m,crime
Piano Love,5.8,15,1h 36m,crime
Buenas noches,6.5,13,1h 31m,crime
Push,4.6,11,None,crime
Meitantei Conan Bâsasu Kaitô Kiddo,6.1,172,1h 21m,crime
Maven,8.6,64,2h 15m,crime
Saint Michael of the City,8.0,32,None,crime
7vens Law,9.3,20,1h 8m,crime
The Best of Me,None,None,1h 29m,crime
The Dealer,7.8,14,2h,crime
Snowstorm,4.5,6,1h 31m,crime
Rebel,3.2,66,1h 40m,crime
Housekeeping,6.0,41,1h 38m,crime
Wieczór kawalerski,4.8,441,1h 25m,crime
The Hole Story,7.4,8,1h 27m,crime
Money No Enough 3,6.0,267,2h 18m,crime
Shadows of Betrayal: Chronicles of Ian Blair,7.5,14,1h 5m,crime
State of Silence,6.4,111,1h 20m,crime
My Home Hero the Movie,6.6,11,1h 57m,crime
Orah,7.1,23,1h 35m,crime
Evidence,9.4,209,None,crime
Dickweed,7.1,39,1h 30m,crime
Siragan,7.0,153,2h 10m,crime
The Station Strangler,None,None,1h 39m,crime
Break War,2.7,17,1h 26m,crime
Dirty Thirty,None,None,1h 36m,crime
The Hitmen,None,None,1h 24m,crime
Jama,6.0,18,1h 11m,crime
Grey Games,8.6,1.1K,2h 1m,crime
