Movie_Title,Rating,Vote_Count,Runtime,Genre
Askepote,3.5,86,1h 12m,Animation
Yumi's Cells: The Movie,6.2,53,1h 33m,Animation
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.6,38,1h 11m,Animation
Pleasant Goat and Big Big Wolf: The World Guardians,6.6,16,1h 36m,Animation
Pui Pui Molcar the Movie: Molmax,6.4,10,1h 9m,Animation
Love and Friendship,None,None,57m,Animation
Benjamin Bat,7.9,34,1h 15m,Animation
Inazuma Eleven Movie: The Legendary Kickoff,7.4,8,None,Animation
Max Beyond,6.6,18,1h 33m,Animation
Bogyó és Babóca 6. - Csengettyuk,7.8,13,None,Animation
Nature Cat's Nature Movie Special Extraordinaire,7.3,19,53m,Animation
Hello My Beautiful Creatures,6.8,173,2h 22m,Animation
Tri kota. Zimnie kanikuly,6.5,36,1h 5m,Animation
Gujeyeog-eseo sal-a dol-aon dwaeji,4.9,14,1h 45m,Animation
Motu Patlu & The Rise of Zombies,6.9,17,1h 14m,Animation
Bartali's Bicycle,7.6,9,1h 20m,Animation
The Worlds Divide,7.9,40,2h,Animation
Ugly Sweater,7.1,13,1h 20m,Animation
Mobile Suit Gundam: Silver Phantom,6.1,13,1h 30m,Animation
Lilla spöket Laban spökar igen,6.2,30,44m,Animation
Day of the Diesels,6.9,11,1h 40m,Animation
Ivan Tsarevich i Seryy Volk 6,5.6,101,1h 25m,Animation
Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.5,10,50m,Animation
Return,None,None,1h 30m,Animation
COPS VS WHORES,None,None,57m,Animation
Kral Sakir: Devler Uyandi,5.3,69,None,Animation
Dinosaur Empire,None,None,None,Animation
Nothing Unusual,8.8,13,1h 32m,Animation
Alex and Mia's Awesome Movie!!,None,None,1h 15m,Animation
Mustafa,6.9,76,1h 15m,Animation
Dance with the Finless Promise,6.3,20,None,Animation
Il segreto di Liberato,7.3,230,1h 30m,Animation
The Greatest Surf Movie in the Universe,4.7,9,1h 21m,Animation
Code Geass: Rozé of the Recapture: Part 2,7.8,28,1h 16m,Animation
The Cheshire Cat,None,None,1h 4m,Animation
Steal the Naughty List,6.2,127,1h 30m,Animation
Sunburnt Unicorn,7.7,13,1h 21m,Animation
Luv You Shankar,5.8,44,2h,Animation
Dead Dead Demon's Dededede Destruction Zenpen,7.1,143,2h,Animation
Becho,7.3,11,None,Animation
Marvel's Civil War Full Comic Dub Movie,None,None,1h 15m,Animation
Riki Rhino: The Bird Kingdom,5.1,25,1h 49m,Animation
Magic Birds: I magiki pagida,None,None,1h 40m,Animation
Cacophony the Animated Movie,None,None,1h 21m,Animation
Dinonauts,None,None,1h 17m,Animation
Apocalypse Love,6.4,6,None,Animation
Rocket Club: Across the Cosmos,8.4,19,1h 8m,Animation
Kaptan Pengu ve Arkadaslari 4: Buzuldaki Sir,5.3,14,None,Animation
Spider-Man: Blue,5.8,12,None,Animation
The Delegator,4.1,17,1h 36m,Animation
Arne Alligator och djungelkompisarna,4.7,51,1h 1m,Animation
Treasure Fellowship,None,None,1h 26m,Animation
Bizarros Peixes das Fossas Abissais,7.6,15,1h 15m,Animation
Black Butterflies,None,None,None,Animation
Sinoalice: The Very Last Story,None,None,1h 14m,Animation
The Puffins: Arctic Games,None,None,None,Animation
Gintama on Theater 2D: Kintama-hen,None,None,1h 37m,Animation
Penelope & Everly's Holiday Adventure,None,None,TV-PG,Animation
The Ballad of Straw Hat Sam,8.5,13,45m,Animation
Gintama the Movie 2D: Courtesan of the Nation Arc,8.0,9,1h 49m,Animation
Harmonie,None,None,1h 14m,Animation
The Car Acrobatic Team Saga,7.2,12,1h 52m,Animation
Isle: Alpha One,8.4,7,1h 37m,Animation
Genjitsu no Yohane -Sunshine in the Mirror- Movie,None,None,1h 29m,Animation
Zuzubalândia: O Filme,6.0,12,1h,Animation
Bread Barbershop: Celeb in Bakery Town,None,None,1h 17m,Animation
Robo Puffin,None,None,Not Rated,Animation
Bob a Bobek ve filmu: Na stope Mrkvojeda,7.2,32,1h 20m,Animation
Tied Up,None,None,None,Animation
Adventures of Mickey Sherlock Mouse & Winnie the Pooh,4.9,12,None,Animation
Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,7.4,15,59m,Animation
Abá e Sua Banda,7.2,14,1h 24m,Animation
Pikmin Forever,None,None,None,Animation
Rhythm of a Flower,7.4,15,1h 21m,Animation
Code Geass: Rozé of the Recapture: Part 4,6.6,15,1h 10m,Animation
Shed 17 & Project G-1 the Movie,None,None,1h 25m,Animation
Iris the Movie: Full Energy!!,7.3,8,1h,Animation
Calico Rebellion,None,None,1h 10m,Animation
Be Forever Yamato: Rebel 3199: Part 2: The Assault of the Burning Sun,None,None,1h 37m,Animation
People Power,None,None,1h 24m,Animation
La Familia del Barrio: La Película,4.5,7,None,Animation
Code Geass: Rozé of the Recapture: Part 3,7.4,25,1h 16m,Animation
Rabbits Kingdom the Movie,None,None,1h 34m,Animation
LUDA,7.2,6,1h 26m,Animation
Skazochnyy patrul. Shou prodolzhayetsya,7.2,11,1h 5m,Animation
Tobia e i colori del mondo,3.7,7,None,Animation
Bear Kid: Super Hero,None,None,1h 20m,Animation
Dante's Divine Comedy,None,None,None,Animation
Molang au cinéma!,None,None,55m,Animation
The Super Paper Mario Movie,None,None,1h 41m,Animation
World of Sathvik and his friends : The Cursed Pumpkin,None,None,48m,Animation
Unhappy 25 Years Little Brat,None,None,13+,Animation
Poder Del Pueblo,None,None,1h 24m,Animation
"Hey, Tete",6.4,9,2h 31m,Animation
Eiga Oshiri Tantei Saraba Itoshiki Aibô (Oshiri) yo,None,None,1h 11m,Animation
Broken oath Chapter #2 Blood Bath on City Island,None,None,1h 30m,Animation
Sufunkan no Yell o,7.0,6,None,Animation
King of Prism: Dramatic Prism 1,None,None,1h,Animation
Cordélicos,None,None,1h 8m,Animation
Toto's Christmas in Oz,None,None,1h 5m,Animation
Kek 2,None,None,1h 38m,Animation
The Veyshal Movie,None,None,2h,Animation
"Abenzaidún y Wallada, amor eterno",None,None,1h 7m,Animation
